f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125,f126,f127,f128,f129,f130,f131,f132,f133,f134,f135,f136,f137,f138,f139,f140,f141,f142,f143,f144,f145,f146,f147,f148,f149,f150,f151,f152,f153,f154,f155,f156,f157,f158,f159,f160,f161,f162,f163,f164,f165,f166,f167,f168,f169,f170,f171,f172,f173,f174,f175,f176,f177,f178,f179,f180,f181,f182,f183,f184,f185,f186,f187,f188,f189,f190,f191,f192,f193,f194,f195,f196,f197,f198,f199,Person,Scientist,Place,Planet,CelestialBody
8532306.6,-9704754.0,8260529.5,-9493456.0,9774938.0,8775724.5,8704860.0,9837554.4,-9735807.0,8854741.0,5687558.7,-9222594.0,8429649.0,-7379040.0,8988408.0,5101522.0,8917832.0,-8440564.6,-8539889.0,-9893621.5,-9438909.0,7392803.6,-10259335.0,9248415.4,-397157.0,7435726.4,9258401.0,-7325398.0,-9477356.0,-8366714.0,6686829.0,-9533112.5,2760061.0,8966593.0,-9080679.0,10553099.0,-3519875.6,-2914368.4,-9001215.0,10163196.0,7778614.0,7863475.4,-8947445.5,9907685.0,10174079.0,-10174743.0,8326317.0,9044116.0,-6748280.0,-9848199.0,-9568193.0,5401734.3,-9576069.0,9555754.0,-8069961.0,9888697.4,9163689.0,-9300525.5,-8824424.0,-10392300.0,-8785060.0,10970646.0,9019172.0,-8156863.0,-8516959.0,9087906.0,-9227869.0,5132733.0,9468242.0,-9349050.0,-8874289.0,-9287339.4,8973960.0,10148498.0,-9879584.6,-8288330.0,9424128.4,-7306821.0,-10024150.0,6395580.0,-9589209.0,3677594.0,7386045.0,8791372.0,8540481.0,3119161.4,-10309061.4,10451192.0,7637046.0,8385592.0,-4259936.0,-8667438.5,-6743970.0,-9695468.0,6372607.5,-8565889.0,11112637.0,-1125540.5,124176.6,10829912.0,-8568378.5,8693723.4,-9068472.0,10111122.6,8960157.0,-6219762.2,-9055164.0,9908122.6,-9242318.6,6087146.0,-8770184.0,8641735.0,8950170.0,-5653885.8,-9181914.0,8531614.0,3087875.2,-8725166.0,6555527.4,-10811692.5,-7955579.5,-6840873.5,-6034814.0,-9511525.0,-9979387.0,565568.3,-4984932.0,8757263.4,2343750.4,-4362737.8,-9140663.6,4710251.0,-6252064.6,-5770401.7,-8723472.0,-9115553.0,-10370427.0,-8327465.5,5629146.5,-10553353.0,-7587840.4,-7902885.0,8440517.0,-5026064.8,9012607.0,-9539030.5,-7979543.5,-10371417.6,-10247848.0,5415915.7,8596758.0,-6315189.0,3238227.2,-4022431.7,-9537109.0,8954044.4,-709935.56,-8757681.4,9724274.0,7333393.0,-8364170.0,7311245.0,9087649.0,6769417.0,-4840585.6,-9766982.0,-8511919.0,-8961343.0,8778997.5,6079300.0,-826518.0,-8463162.0,-3104999.0,10755378.0,-9964200.0,-9699638.0,4814656.0,8114331.0,-4291490.0,-8990808.0,-7036313.4,-8789748.0,-6735330.0,-9383429.0,8765183.4,5436596.0,7927158.5,-2065175.4,-7432670.0,9271462.0,7341461.0,5649277.2,-10872977.0,-10274169.0,235080.56,-8714196.0,7319935.0,-9884419.0,1850573.9,731086.9,1,0,0,0,0
8869106.0,-10825326.0,7487073.5,-10326187.0,9145422.0,8268548.5,8405691.0,11205330.0,-9935724.0,8991166.0,5780450.6,-8505756.4,9035598.0,-8490447.0,9216589.5,6587347.0,8098853.4,-9029576.0,-9572527.0,-8999699.0,-6010555.0,8898713.0,-11132783.4,8718186.6,548434.77,8879486.0,9163308.0,-6624253.0,-9999494.0,-7873348.0,6059214.5,-9190814.0,1929292.6,8187822.0,-9105155.0,10273073.0,-3213595.2,-3917849.0,-10162934.0,8723441.5,10686648.0,7984915.4,-9507371.5,8094385.0,10125821.0,-10905430.5,5858215.3,9571136.5,-6815025.0,-9655630.6,-9171475.0,5085807.7,-6336167.0,10210255.5,-8927304.0,9538585.0,8258627.0,-8768499.0,-10237815.0,-9734101.6,-8073163.0,10309102.4,9346735.0,-9503104.0,-7885191.6,9643720.0,-7851107.4,5836406.4,8956615.0,-8095414.0,-6930502.5,-8746951.0,10401579.0,9049982.0,-9663933.0,-8600724.0,8029535.0,-8437751.0,-10436051.0,7064089.0,-8797055.0,4061707.5,7216693.0,9133605.0,9165577.0,2120117.1,-7071798.0,9929459.5,7753948.0,6584831.0,-3886791.3,-7764798.4,-7725327.0,-9714675.0,8313705.0,-8987182.4,8962314.6,-3072995.0,655932.07,10555930.4,-7785033.0,8547758.0,-8530581.0,9899417.0,9462885.0,-8789571.4,-8751178.0,8607232.6,-10613046.0,5898635.5,-7558122.0,8054913.6,8439103.5,-4127919.3,-7895156.0,8230752.0,3428575.0,-10320124.0,5038725.0,-9800902.0,-7464417.0,-7943449.0,-5875506.0,-8385429.0,-9874817.0,2603124.5,-8112648.0,7632193.0,2575886.4,-4201195.4,-9711829.0,4746493.7,-6350115.0,-4944681.4,-8148410.0,-8684438.0,-8851221.0,-8572990.4,7751793.4,-9850543.0,-6418618.0,-7010972.0,7772469.0,-4158453.0,8759706.0,-9820197.5,-7976827.0,-9624749.0,-9332459.4,3366891.0,7921135.4,-7923915.0,2879023.4,-3067605.4,-8710024.5,8528254.0,-1660306.8,-10295667.5,9689037.5,7941510.5,-8332781.5,7302248.0,10376663.5,8518705.0,-2719262.2,-9150325.0,-6711691.0,-8597015.6,8387143.0,8049117.0,1264953.8,-8585920.0,-3884022.0,9137238.0,-10402355.0,-10085884.5,3928953.4,7187100.0,-3884468.6,-9054644.4,-5644952.0,-9472953.0,-6621541.0,-8733509.0,10076189.0,5708424.7,7575028.0,-689249.6,-6987731.0,8250321.0,7273742.6,4908246.5,-11567057.0,-8706683.0,-491168.0,-7795001.6,6987098.0,-8219220.0,1261891.1,-850514.7,1,0,0,0,0
8324204.4,-8427375.6,8253731.6,-9893642.0,8249838.0,8174170.6,7677612.0,8620583.0,-9881961.0,9575125.6,6448638.4,-10209919.0,7785569.0,-8372491.0,8914073.6,3894578.7,7560285.0,-7625738.0,-7542968.5,-8484313.0,-9869325.0,10265346.0,-8411171.0,7562243.0,-260495.46,8095422.0,9013193.0,-7038309.0,-7887523.0,-8851349.0,2831421.6,-9585462.5,2633779.0,8219073.0,-9775703.0,9479168.0,-2077294.7,-6788232.0,-9042615.4,8783718.0,9913256.0,4805246.4,-10717671.0,8968255.0,8871160.4,-11213880.0,7184867.6,8375757.0,-6723522.0,-9688473.0,-8358832.0,5520553.0,-9913211.0,9270251.0,-8826460.0,7874728.0,9353776.0,-7710034.0,-10498413.4,-8957109.6,-8260445.0,8598693.0,8653830.0,-8794422.0,-6507975.0,10437454.0,-6358567.0,7942990.0,9459026.0,-9112894.5,-9256076.0,-9461105.6,6454591.0,9375832.0,-10657865.6,-6070729.0,7665458.0,-7347125.0,-9822862.6,8245856.0,-8756580.0,4192476.3,6201991.4,9097534.4,8424852.0,-1236410.4,-9931960.0,8618423.0,7732068.0,7961056.4,-5984956.4,-7607011.5,-6334312.0,-8532730.0,8857205.5,-8025198.4,9658717.0,-1748246.5,-1833195.2,11182829.0,-8456523.0,9244770.6,-7808962.5,9353194.0,8928413.0,-3907727.5,-7704174.5,9649097.0,-9744631.5,3056207.1,-5600662.0,9278123.0,9071386.0,-3868878.3,-10429825.0,8543187.0,1223313.2,-10117674.0,511118.0,-9352376.0,-9973188.0,-6746716.0,-3654167.0,-7615963.0,-8961970.0,137738.27,-8565956.0,6671324.0,961281.9,-4770039.8,-6380852.0,5886951.5,-5098127.2,-6814098.0,-8470113.0,-7012302.0,-7218046.0,-9791227.4,7172210.0,-9562773.0,-5413701.4,-5714680.6,5413616.0,-4839106.3,7888409.5,-10223797.0,-9466013.0,-9831191.6,-10834160.4,3349344.8,7082436.0,-5083767.7,2295652.8,-5124532.4,-7558738.4,8348320.0,-620923.5,-9840789.4,9578918.0,6934236.0,-8833022.0,6743854.0,10058613.0,8143716.0,-4630338.0,-9538326.0,-6801350.0,-7514039.4,7822780.0,6418947.0,1028447.6,-8228342.0,-1151903.25,10074187.0,-9855261.4,-9292806.0,5754557.0,6827084.0,-5096466.0,-7108933.5,-5349943.4,-10379961.0,-8129785.0,-9213326.0,6072084.6,5913100.0,6857106.0,-1290366.9,-7330689.6,9708585.0,8578781.0,3507861.0,-11393846.0,-8142773.0,-1227457.4,-8498056.0,8809911.0,-5818082.0,2613994.3,-12021.522,1,0,0,0,0
7330558.0,-8214576.0,8137859.4,-9961656.5,6315712.0,6949416.0,8156048.0,9006007.0,-10485504.6,9416997.4,4012056.4,-8397868.0,6829247.0,-8989660.4,9530435.0,6262322.0,10498257.0,-8637619.0,-10596726.0,-10093335.0,-10724588.5,11061308.5,-5998574.2,6658357.4,77549.88,8659837.0,8770514.0,-6962293.4,-9335910.5,-8158723.0,3765484.3,-10925375.0,3863681.0,7606511.6,-11902887.4,8417787.0,481987.65,-6645080.0,-7676063.0,8334596.0,12064437.6,4443619.8,-9571972.5,8044668.0,8119937.0,-9505355.0,7711571.0,6395632.0,-8437207.0,-10224371.4,-9063876.4,7044228.0,-10522797.0,9376173.0,-8313785.5,10598837.0,10599615.4,-5895455.6,-8705768.0,-8740480.0,-7753210.0,9630465.5,7087820.0,-9209487.0,-6554910.0,7626483.6,-8454471.0,4103749.6,7214885.0,-7483560.0,-8038896.0,-8275634.0,8439904.0,9898325.0,-11511121.0,-7983204.0,6441954.5,-6251969.0,-7986913.0,7621960.0,-8462453.0,3502614.8,9107886.0,8885963.0,7313348.0,910268.9,-10349581.4,5738663.0,7663744.0,7352409.5,-3893324.0,-8557211.0,-4821131.8,-11400871.0,6583088.0,-8595919.6,9629905.0,-4956153.4,-4351391.3,10323305.0,-9664512.4,8256272.0,-8524529.0,11418376.0,8802704.0,-1969709.2,-8589551.6,11355825.0,-8373437.0,112238.48,-7682866.0,6799597.0,9860287.0,954079.4,-10417047.0,8999235.0,-430803.9,-7902918.0,1251828.9,-7965009.0,-9015610.0,-7527602.0,-3935913.0,-8032417.0,-10205827.0,-734136.86,-6110596.0,8874518.4,-205116.67,-3558744.5,-5085491.8,4734584.0,-4866410.4,-7312668.0,-7527707.0,-4047385.6,-9524701.5,-9586742.5,6741925.0,-8528888.0,-6050947.7,-6939155.0,6102261.7,-1753017.7,4544918.0,-9025235.0,-8240352.0,-9522021.6,-7731989.0,1714127.5,6950976.0,-6447546.0,3864321.0,-4906712.5,-11436391.6,5546798.6,-216959.5,-10569845.0,8077887.4,6919176.0,-8367063.0,4413026.0,10020199.0,5561696.4,-5285938.5,-9216815.0,-8216186.6,-7751369.0,10422630.6,4221952.3,-1596680.1,-8918912.0,-5729883.5,10396001.5,-10732989.0,-9790747.6,5220517.5,7455036.0,-4354458.3,-10256377.6,-5386760.0,-8180678.0,-6174605.7,-10491960.0,6644181.0,7000566.0,2729140.0,1722103.7,-8230640.0,9766228.0,8997269.0,2149342.0,-9660685.0,-7788540.0,-5106472.2,-8637806.0,6746370.0,-7368915.0,2945651.7,-1236720.0,1,0,0,0,0
6454259.0,-9115883.0,8504167.0,-9771303.0,7987287.0,6190550.7,8043545.5,11445434.4,-9886340.0,9251842.0,6285182.0,-7529690.0,4650375.6,-9745582.0,8320325.6,4777553.7,8458765.0,-6347177.0,-7756525.0,-6463393.6,-10145185.0,11315986.0,-7650618.0,7461364.6,277090.82,6335767.0,8916367.6,-6969908.6,-9316891.4,-8455348.0,1644295.5,-10565060.4,1865697.5,8227408.0,-8772852.0,7808781.4,-2628987.1,-6481326.0,-8579361.4,8614977.4,8024825.0,5936583.0,-10095799.0,9085278.0,10260609.5,-11041455.0,8585306.0,6383738.0,-7954190.0,-8712242.5,-7580380.0,4628353.6,-10907942.0,9765344.0,-8397320.0,9111760.6,10810391.6,-8519918.5,-10558045.0,-8814601.6,-8691682.0,8571221.0,7280666.4,-8494025.5,-8031952.4,9060204.0,-5578103.7,4574087.6,8715606.0,-8944666.4,-7761298.0,-9734070.0,7304267.0,9494474.5,-9818223.0,-7841011.0,7908455.0,-6459737.6,-10289603.5,6971555.0,-6971334.0,2795395.0,8480587.6,8186816.4,7966094.5,-1906789.7,-11388482.0,7454984.0,7896510.0,8002676.0,-5644130.3,-7995441.6,-5509209.6,-9147525.0,6472822.0,-6564346.0,8771326.4,-1898676.9,-1883650.8,9743687.0,-8257475.0,8868029.0,-9583826.0,7901513.0,9917556.0,-3718234.0,-8190970.0,10088472.0,-8447370.0,2544162.4,-4564247.3,6934754.0,8417366.0,-3875910.5,-8683696.4,8886985.5,716542.45,-9241649.5,1879126.4,-9341045.5,-8923440.4,-7211421.4,-3564230.0,-6908414.0,-9470811.5,-963699.4,-8259977.0,9107713.0,1259461.2,-5059325.3,-7075145.0,4914653.7,-5790727.6,-5760993.0,-8369889.0,-6752923.0,-7613380.0,-9467531.0,6193179.0,-9114905.0,-6289049.0,-9002434.5,6267065.6,-5356557.7,9448101.0,-9464604.4,-8934307.0,-9184638.0,-9085794.5,3484250.0,5911437.0,-6785026.0,5113368.5,-5429586.4,-10782661.0,7428145.0,-1139392.05,-10644734.0,8302422.0,7794399.0,-7862283.0,6144477.4,8893855.0,7432514.4,-2742287.3,-9564062.0,-7659733.0,-7883463.0,8836523.4,5988214.0,-298617.2,-7716912.0,-2423740.2,8526156.0,-8665537.0,-7769713.0,3680866.2,7882458.0,-3484385.0,-8915273.0,-4957852.0,-11413701.0,-7123943.4,-11099855.6,5383710.6,5520426.0,5916956.4,254362.82,-6484266.0,8995262.0,7502171.4,4409001.0,-8808367.0,-9238537.0,-1465113.65,-8635606.0,8835063.0,-6976963.0,2070252.4,3449.149,1,0,0,0,0
8210781.0,-10269632.0,9644073.0,-7762895.5,9441621.0,8696180.6,9054943.0,10158956.0,-8776136.5,10219476.0,6385654.0,-9122956.0,7897977.5,-9473614.0,9529744.0,4297334.0,9289033.0,-9725765.0,-9609420.6,-9885119.0,-9494445.5,8785502.6,-9966835.0,7920620.0,-1166902.7,7996042.0,9394220.0,-7299305.5,-9998138.0,-7418968.5,7447073.6,-8653541.0,2360047.2,8032284.0,-10017732.5,8879007.4,-4502018.5,-2860692.9,-10131932.0,9865758.0,8807090.0,7197054.0,-9424855.6,8963050.0,8346011.0,-10938145.0,6235870.7,9541742.5,-5790266.4,-9303485.0,-8578039.0,4856352.0,-9764405.0,9214268.6,-8180947.0,8079306.0,9378797.0,-8556010.6,-8268797.4,-9382096.0,-8280882.0,9702548.4,8707958.5,-9722447.4,-6903174.0,8561493.5,-8130336.0,5380331.7,9400385.6,-7947720.0,-8033480.5,-8709249.0,9254749.0,10679555.0,-9382464.0,-7447493.0,7663013.0,-7610441.0,-10384697.5,7623353.0,-9815310.0,3290840.2,7523475.0,8449681.0,8551531.0,623666.6,-9580587.0,10107899.0,8781953.0,9546154.0,-4646033.0,-8607554.0,-7294163.0,-10298265.0,7084809.0,-9607623.0,10586399.6,-2767992.2,131013.06,9860451.0,-9327292.4,9042014.0,-9746495.0,9547122.0,9606174.0,-7975777.0,-8207222.0,12313100.0,-10057727.0,3603815.3,-7561385.0,7391968.0,8329531.6,-6774375.0,-8074705.0,7730933.0,4080364.5,-10585980.0,4743408.4,-9197802.0,-9645795.0,-8486441.5,-5806871.0,-8793342.0,-9459831.0,1458109.45,-5740612.0,9281357.4,2008873.0,-3631982.6,-8136729.0,6342441.0,-6733583.0,-6063024.7,-8951939.0,-8608529.0,-8279145.0,-8772520.0,6403551.0,-11110636.0,-6684355.0,-8611683.0,7928832.6,-4470340.5,7613861.0,-9587101.0,-8961038.0,-9871302.0,-9737178.0,3545132.7,7137851.0,-7723389.0,2520795.5,-5151719.0,-9219576.0,9536705.0,-1746557.0,-9707092.0,7953037.0,6574951.0,-8541340.4,6984400.0,9133474.0,7798256.0,-4325385.8,-8794536.0,-7734015.6,-8656147.0,9595234.0,6764429.0,1393825.5,-7713517.0,-2552799.9,9956784.5,-9835534.5,-9750221.0,5102218.3,9077933.4,-5559580.4,-9839473.0,-6889032.6,-9270635.0,-6727971.0,-8297435.0,9365672.6,4521214.2,7166049.0,-2176178.4,-7697610.6,10105158.0,6680655.5,5324572.0,-10832384.0,-10366229.0,-1439495.0,-7699058.0,8878198.0,-9056183.0,1822868.2,199700.9,1,1,0,0,0
9800173.0,-10495496.5,9837177.0,-9908767.0,9174003.0,9195880.6,11231583.0,9339541.0,-10175294.0,11570191.0,8925272.0,-10764368.0,11022257.0,-10185522.0,12068324.5,10108929.0,10957963.0,-9181764.0,-9479973.5,-8155287.0,-8351822.0,8847345.0,-10741934.0,6633385.0,-1442766.2,10394406.0,10319824.0,-9270403.0,-9659640.5,-11180576.0,10057744.4,-10401215.4,4369883.2,6400563.6,-9861426.0,10681048.0,-7877175.5,-5112547.4,-10575034.0,10136771.0,10992712.0,9521306.0,-10811864.0,6614584.5,9288275.0,-8550718.4,8057283.0,10107672.0,-6463324.0,-10771536.0,-10403631.0,6447819.6,-10528999.0,7175010.0,-9051073.0,11064335.0,9414255.6,-6071853.3,-9827676.0,-9190797.0,-9744834.0,10443500.4,8001625.5,-10272488.0,-7827157.0,10866563.0,-12937151.0,9090368.4,10027110.6,-10075607.0,-8581394.0,-9547406.4,10267937.0,11116966.0,-11743504.6,-7674345.4,9199431.5,-8066714.0,-10335499.0,7780305.0,-11365429.0,7388965.0,7397628.6,8873584.0,9673345.0,302517.37,-10574320.0,10251779.0,9749619.0,9013384.0,-4346990.0,-8555184.0,-7721442.0,-10963972.0,8316782.0,-10066161.0,9639312.0,2237388.3,1461708.9,10212625.0,-10486335.0,7885494.0,-9416310.0,9448485.0,11683979.0,-7245601.0,-5868779.0,9437789.0,-9756620.0,4153802.0,-11272115.0,8434510.0,9098280.0,-8062435.0,-8504079.0,7916446.0,5464000.3,-9055241.0,7699475.0,-9032489.0,-10710534.0,-9359635.4,-4032399.0,-10424577.0,-9015921.5,-979636.1,-6707919.4,9571930.0,1810106.0,-2498811.1,-11325816.0,5447568.4,-7112823.0,-7220588.6,-9726453.0,-6218048.0,-9490941.0,-9733390.0,8721929.0,-7367934.0,-5910461.0,-10631641.0,9683850.0,-4979294.0,9260038.0,-9876493.0,-9144932.0,-11333965.5,-11353975.5,7405299.0,8488691.0,-7443093.0,5483694.4,-5563285.6,-10246668.0,9753761.0,-5896057.0,-9881203.6,10133337.0,7039969.4,-8837378.0,9505490.0,9902369.0,6013718.0,-6440102.0,-10372677.0,-11109739.0,-10290549.0,10673661.5,6224837.5,1434340.6,-8368365.5,-4950513.7,9762302.0,-10528445.0,-10894342.0,3192526.5,9078471.0,-2175053.4,-9378118.0,-8464932.4,-11208591.6,-5565176.5,-8908018.0,9890274.0,8201588.0,6946801.0,1760028.5,-10232010.5,9886771.0,8524609.0,5735100.4,-10661681.0,-7881864.0,4916609.5,-8667470.5,10458150.5,-7701513.0,5968242.5,4049726.0,1,0,0,0,0
7239971.0,-11323725.0,9761831.0,-9266063.0,8083563.0,10381769.4,11187088.5,9053334.0,-9222137.0,9229773.0,8210894.0,-8333171.0,7402792.0,-8079138.0,7412965.6,8866951.6,6855364.0,-9690186.4,-8928160.0,-8675272.0,-8916923.4,7485359.0,-10777536.0,4474574.3,106991.15,8920611.4,9042390.4,-8853746.0,-11353154.5,-6324943.0,8258337.0,-10302152.5,4149231.0,9344352.0,-8747488.0,8404925.5,-3524367.0,-5682868.0,-8494952.0,10143676.4,9799752.0,7575154.0,-10386138.0,6485455.0,9067985.4,-11087867.6,3671593.0,7889578.5,-5001782.6,-9234463.4,-8896766.0,4796651.4,-10818294.0,9752177.0,-9106722.5,9431830.0,8048060.5,-7012116.0,-8024014.5,-8903916.0,-10259134.0,11601912.0,9468678.0,-7656394.0,-9897195.5,12301548.0,-9779656.0,5963156.7,5478116.0,-9552866.0,-6761648.5,-10521720.0,11008130.0,13075294.0,-9688500.0,-7027166.0,9922840.4,-9749041.5,-9354792.5,7257171.0,-10985266.4,5474377.8,9521688.0,7783801.0,7657497.0,-6448620.6,-8755069.0,7470003.5,7470175.6,8817040.0,-5521045.3,-13158098.0,-5367819.6,-9844838.0,8978163.0,-8394167.0,9833376.0,-5797614.5,1277904.5,10667616.0,-9926575.0,7906239.5,-9539816.5,9280788.0,8361753.0,-6186436.5,-6630675.0,9192444.0,-9888052.0,7278107.0,-4047502.0,10303435.5,5200367.8,-5074703.7,-9630184.6,10022344.4,5776058.5,-9613521.0,-177448.02,-9176852.0,-10778640.0,-7277178.0,-5228878.0,-8135576.5,-8569622.0,-1762404.3,-8660535.5,9360477.0,4029430.4,-6868420.5,-9442869.6,1076232.8,-4828305.0,-4699969.7,-7523066.6,-8350038.0,-9872910.4,-7470392.0,7712868.0,-8743321.0,-6009041.0,-9731044.6,7369725.0,-3960487.0,8831826.6,-8720665.0,-9940229.0,-9992472.0,-11652236.0,2587061.7,7970589.0,-6761561.0,3192993.3,-2397595.7,-8509184.0,5734168.7,-135905.64,-11085204.0,10050341.0,6360943.6,-5193660.8,7687810.0,10487103.0,5535965.0,-6779356.0,-11423258.0,-8377526.0,-8511593.0,8825222.0,5145029.0,328611.07,-6917338.0,-3314840.4,10259953.0,-11211935.4,-10561660.0,5754795.7,5755115.0,-1611173.2,-7950501.0,-9036361.0,-11522015.0,-5887352.3,-10967842.5,8231990.0,6815266.6,2229398.1,262830.24,-9933519.0,9585394.0,6006040.8,6975184.0,-12352654.0,-9062236.0,-3017722.0,-7943446.0,8320562.0,-4639508.2,4629007.7,543518.83,1,0,0,0,0
8488140.0,-8920075.0,6134322.0,-8256334.0,7999731.0,7902863.0,9827284.0,10173350.0,-10716522.0,8907471.0,6055111.8,-9319875.0,8616885.0,-9444822.0,8136514.0,6199626.6,9035544.0,-8676676.5,-9320216.0,-9015737.0,-9487907.6,8430777.0,-10937565.0,8476011.5,-285567.65,8114201.6,4061141.0,-6838694.0,-10491012.0,-8588421.0,5732839.6,-9527525.0,2706321.7,8260922.0,-8072934.0,9885804.0,-4007059.3,-3730029.0,-9567809.0,9778525.0,10134863.0,6523450.5,-8874674.0,7943168.0,11148267.0,-7006653.0,7290747.0,9791353.0,-7860467.6,-8662704.0,-10590196.0,5446523.8,-8836805.0,9376556.4,-7694406.0,10543886.6,7836065.4,-10563117.0,-10450725.0,-9450631.0,-8234672.0,9878249.5,10229163.6,-7979994.0,-8090208.5,8925308.0,-8825435.5,6382712.0,10118437.0,-7038326.6,-9067783.5,-6863082.0,9577507.0,8481157.0,-8662032.0,-8392055.0,8309832.0,-7953603.6,-10468701.0,7620668.0,-9162592.0,4805593.0,7258186.0,9327961.0,8419140.0,3874970.2,-9189198.0,10563638.0,7633273.0,9740704.0,-2950856.0,-8691088.0,-7901288.0,-9509323.0,7862396.5,-8567139.0,10155897.6,-3570884.5,1333710.9,9879150.0,-8431496.5,7028688.0,-9538590.0,10259995.0,10382429.0,-6822754.0,-9636320.0,9927511.0,-9903381.0,6182682.0,-7657757.4,8340798.0,8349812.0,-4229578.7,-8094717.0,8083044.0,4116547.0,-8638918.0,6358358.0,-10653127.0,-8972652.0,-9270041.4,-5325028.3,-10265225.0,-10272606.0,975801.2,-6763939.6,9906159.0,2421404.2,-4624038.0,-6014584.0,4227018.7,-4796381.0,-3746959.2,-8147564.0,-8461503.0,-10164065.0,-8181137.0,6237697.6,-9692655.0,-6586707.4,-8007347.0,7796295.0,-5155580.5,8108609.0,-9393306.0,-9358010.4,-9622986.6,-9236985.4,4806100.2,8458526.0,-6809265.0,4535767.4,-3199328.0,-10102947.0,8516976.0,-179027.03,-9761885.6,10334631.0,8947859.0,-7296086.0,7417783.0,8878759.0,5996201.6,-4384006.0,-9716973.0,-6352027.5,-8027869.5,9235418.6,6569024.0,-422602.43,-7700718.0,-3603635.4,8823204.0,-9757262.5,-10365166.0,4032271.4,9373978.0,-4235897.0,-8678626.0,-6021856.0,-9534436.0,-6599837.0,-8519582.0,7638771.0,5314662.0,6867739.6,-2800935.9,-7769767.0,7545192.5,6395937.5,4717879.0,-9629682.5,-10595482.6,-735499.0,-7520411.0,7778089.0,-9506880.0,2570510.0,109376.47,1,0,0,0,0
7411457.6,-7317103.0,8921356.5,-8313695.0,8520929.5,5199732.6,4581016.7,8519461.0,-8705407.4,7542626.0,5412796.5,-5911993.2,8497178.0,-8135310.6,8404377.0,7831041.5,7056089.0,-6846719.0,-8696125.0,-8099917.0,-6493816.0,4899462.3,-5839521.8,4687582.7,1931984.0,8444510.4,-3100378.4,504926.1,-8638739.0,177666.0,1281143.0,-8588054.0,4705117.0,6020762.4,-6400855.0,8423423.0,623487.08,-5873776.0,-7328029.0,5620628.2,6312805.0,3789311.0,-6607373.0,5670927.5,8449513.5,-7732314.0,6338852.0,-893396.0,-5900871.8,-8402584.5,-6946932.5,3062509.7,-6298466.0,5945646.4,-5160604.8,6873081.6,7208279.5,-3437911.7,-8523565.0,-8509781.0,-4058861.4,8537823.0,8092102.4,-6539083.0,-6111227.3,7872991.0,-4599522.8,5521068.7,5590922.4,-4283233.4,-5158433.7,-6344629.0,5999512.2,7197723.5,-6924308.0,-5115087.0,4128970.0,-2825865.1,-7947393.0,8494563.4,-7591130.6,3017455.0,2008118.1,6473383.0,7751699.0,253398.6,-7991419.0,6436396.4,6465013.0,5195819.0,-2731213.5,-6941941.0,-3707971.4,-9016889.0,5756285.4,-7846119.0,7512286.0,-4366347.6,-3895667.0,9726019.0,-6000751.3,8492032.4,-6461647.0,7306225.0,8936214.0,-3226973.0,-8501220.5,8033000.0,-6510926.0,1526199.8,-5098917.0,10224203.0,6501460.0,1942090.5,-8761900.0,7322405.0,3082569.7,-6664377.0,-1100928.0,-8374455.0,-7984221.0,-7255489.0,-1951812.6,-8037235.0,-5792521.3,2681422.2,-7085208.6,5747410.3,6013777.0,-4142172.3,-6866922.0,4776365.7,1997976.0,-6239565.0,-7664422.0,-5834398.8,-4702071.5,-7467395.0,6375011.0,-7350406.0,-4368173.0,-7397661.0,846324.8,-651709.2,5616808.7,-6765369.0,-7762420.0,-7119390.0,-5425701.3,1875228.8,7150707.4,-8662163.5,2436203.0,-326515.0,-5953435.2,5582368.7,-96846.4,-9692778.4,6887154.0,8233902.0,-6594797.0,3238181.4,7413975.0,6511439.0,-2894650.2,-8340435.5,-6150775.8,-6177978.0,7953954.0,5355726.0,-2948087.5,-6688389.0,889212.5,7248918.0,-6723351.0,-9467397.0,2389617.5,4147684.0,-2659873.1,-7579313.0,-3559047.4,-7819445.0,-3305367.0,-7255249.5,6680211.4,5456989.0,5796382.0,-1627355.0,-5426012.0,9089471.4,8496984.0,2329257.7,-10328949.0,-6458035.0,-2712169.8,-5893322.0,6586026.0,-4809514.0,-1555626.1,-6030473.5,1,0,0,0,0
