f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,Person,Actor,Place
990591.749,646829.698,644859.674,16845.944,460816.595,809765.603,70248.118,5646.503,25339.484,714830.09,420350.763,545479.844,878861.677,675156.608,110288.514,20106.241,636460.403,119697.373,161534.622,251407.043,140209.495,419325.075,922765.19,8259.594,8431.806,37756.627,868000.165,100298.295,54292.897,235172.216,2803.306,684507.286,383102.508,968822.248,17532.205,809605.597,291035.807,47412.389,36127.449,2462.678,197517.148,642312.729,2261.346,12972.178,668443.058,863959.653,90463.527,45807.904,138085.777,301530.315,1,0,0
990545.422,646846.741,644253.087,16861.266,460900.525,808741.217,70232.738,5651.575,25329.303,714729.651,418528.075,545479.632,907928.78,674982.906,110418.277,20099.438,636612.558,119834.526,161534.571,251333.766,140154.276,419450.128,922585.087,8245.789,8462.595,37804.962,868249.382,100498.729,54580.483,228156.851,2798.861,684387.546,383381.824,968828.213,17541.667,809561.977,290997.957,47298.729,36144.771,2526.011,197360.344,645730.177,2255.877,12980.564,668512.482,864345.023,90498.176,46104.159,138065.732,301549.878,1,0,0
990557.245,646836.393,645854.043,16846.73,460790.971,808508.661,70272.348,5645.808,25437.307,714181.959,418891.741,545479.291,878508.058,675091.261,110233.901,20110.152,636521.157,119821.312,161468.615,251429.378,140074.839,419547.242,922591.453,8299.205,8461.438,37359.12,868015.057,100459.034,54491.236,227871.264,2802.626,684533.911,383190.822,968863.871,17508.367,809606.938,290960.576,47417.145,36125.937,2461.981,197609.428,645801.924,2270.725,12977.437,668401.805,864177.97,90498.452,45900.138,138082.616,301550.558,1,0,0
990489.941,646826.386,641138.371,16822.177,460903.662,808130.271,70250.077,5647.648,25330.233,714881.062,419319.074,545479.068,878745.583,675258.33,110289.971,20158.004,636374.91,119852.495,161306.967,251346.687,140264.719,419438.289,922453.397,8229.584,8458.657,37834.386,870842.991,100470.211,54702.071,228007.08,2802.928,684350.481,382984.341,968820.965,17534.313,809611.051,291063.294,47404.303,36123.291,2460.204,197816.208,644914.147,2263.895,12946.082,668444.668,864263.38,90479.881,45839.836,138077.48,301553.718,1,0,0
990607.042,646834.453,645932.748,16835.689,460886.654,809088.434,70205.225,5643.749,25333.622,716126.856,415936.131,545479.257,880306.471,675685.937,110168.656,20102.271,636383.544,119811.66,161845.212,251106.808,140277.12,419375.768,922554.172,8239.861,8457.233,37839.912,867981.629,100351.055,54605.767,227942.734,2806.897,684713.58,383024.811,966601.998,17531.585,809537.278,295147.874,47275.639,36150.004,2460.651,197676.7,645419.644,2263.225,12985.976,668394.455,864425.216,90516.597,45844.577,138083.502,301550.779,1,0,0
990575.822,646831.156,647433.507,16847.675,460789.356,808145.015,70262.985,5647.599,25336.212,714709.304,420274.886,545477.261,878598.908,675005.694,110199.92,20095.815,636481.732,119831.391,161602.703,251365.3,140187.291,413490.973,922443.387,8339.495,8460.671,37495.874,867731.556,100585.298,54580.613,227775.074,2802.717,684562.79,383000.043,968868.59,17532.361,809600.18,290715.432,48233.657,36092.232,2461.242,197704.276,645512.409,2264.675,12972.487,668284.93,864997.66,90492.474,45889.181,138072.253,301552.005,1,0,0
990647.249,646825.9,646737.096,16847.553,460893.46,808764.363,70346.423,5646.692,25334.644,714739.655,421312.876,545479.665,878707.568,674573.441,110270.967,20150.515,636426.599,119845.665,159830.722,251258.157,140172.636,419834.475,922536.72,8241.705,8463.176,37814.764,868003.688,100496.27,54507.152,227811.216,2809.459,684667.799,383094.651,968834.621,17532.783,809605.265,291177.586,47408.985,36117.916,2463.947,197667.159,645573.157,2265.3,12985.977,668553.106,864450.688,90475.111,45898.732,138065.692,301551.909,1,0,0
990489.517,646828.642,647026.868,16856.355,460848.511,808753.615,70308.427,5648.138,25322.453,714514.358,419872.866,545480.409,878905.394,674878.25,110306.109,20103.476,636495.037,119829.91,161292.343,251281.42,139966.175,419451.513,922594.279,8228.802,8457.588,37834.641,867961.606,100197.818,54554.579,228040.672,2801.152,684492.791,383072.677,968799.961,17532.788,809608.135,291073.79,47208.456,36115.896,2461.564,197846.812,644065.472,2268.325,12956.413,668456.82,864393.862,90503.999,45899.864,138092.627,301551.859,1,0,0
990623.975,646831.522,646952.786,16850.991,460786.011,808884.452,70152.467,5649.025,25324.993,714666.986,419897.114,545479.585,878817.098,674909.264,110303.273,20116.935,636465.833,119828.379,161200.709,251207.628,140002.832,419356.534,922506.677,8227.826,8456.788,37815.455,868052.427,100324.765,54692.277,227954.437,2806.192,683072.098,383206.921,968790.471,17534.635,809754.747,291038.913,47324.338,36132.179,2459.615,197822.245,645299.85,2262.828,12971.522,667986.37,864353.731,90533.431,45849.293,138086.289,301548.429,1,0,0
990567.796,646830.78,646720.922,16848.325,460899.061,803586.266,70250.945,5649.273,25323.773,714059.227,420864.531,545479.921,878819.436,675044.579,110285.17,20104.978,636484.116,119801.454,160757.781,251346.583,139593.199,419741.921,922622.572,8212.861,8503.298,37799.059,867894.872,100055.215,54546.041,228103.979,2804.607,682292.863,383163.54,968876.487,17532.177,809511.831,295087.824,47374.009,36116.159,2461.204,197668.55,653510.486,2261.613,12979.303,668139.102,864021.85,90495.896,45835.49,138102.419,301554.197,1,0,0
