f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,Person,Actor,CelestialBody
86348276.13,79177177.79,52506143.737,66600608.931,48295674.307,48990409.738,60427479.249,14254099.457,52134507.68,60280238.886,60792007.423,41822341.489,75258140.053,86367292.907,38916687.659,27503519.341,24592488.251,46372223.618,63053518.678,80634859.735,35909215.653,15828772.494,90588725.487,80697354.784,42824995.833,19641420.035,13358200.973,41937209.618,73230062.282,61557044.496,47559947.801,26362473.483,59584844.051,25228828.817,83127862.331,53377835.145,26666627.769,50302745.951,47352118.263,96471683.118,71447963.528,65941798.422,63415604.907,82892452.528,11605149.271,73335132.039,40553812.97,32061045.167,90067821.525,69776754.413,1,1,0
86352919.817,78904564.034,52533999.064,66597084.147,48301426.823,48989165.282,60419280.858,14247717.872,52340656.205,60306372.191,60878679.54,41839642.149,75236603.772,86358450.818,38895051.54,27538110.148,24597724.456,46656260.424,62965918.172,80649900.436,35919579.725,15827627.125,90588228.872,80704395.475,42826814.512,20588078.219,13355031.464,41890917.17,73082653.869,61576077.601,47600888.422,26342136.706,59583622.812,25215233.852,83117626.098,53367319.946,26663536.524,50283507.669,47340226.466,96473194.051,71443756.736,65946860.108,63404083.861,82886036.616,11577563.86,73471441.819,40560076.756,32060733.319,90063135.885,69796138.596,1,1,0
86364527.86,78904613.885,52518884.334,66647649.862,48292228.758,48990422.084,60587311.733,14286434.235,52129937.897,60272816.086,60795235.739,41822979.469,75216991.237,86373636.015,38891471.314,27523360.419,24642705.685,36784065.095,63029320.846,80641730.905,35910257.818,15826342.171,90581628.7,80734136.133,42824056.088,20578217.106,13360440.879,41918165.925,73284309.459,61519061.373,47595665.768,26395141.292,59584459.847,25216138.521,83646576.078,53370847.153,26664530.251,50292658.096,47328134.431,96473190.209,71438500.435,65948461.369,63409909.616,82888121.518,11610295.579,73403192.385,40563790.975,32060312.192,90060461.999,69723760.186,1,1,0
86416650.683,78901867.35,52519422.152,66600964.274,48316474.88,48990438.649,60438728.648,14234264.459,52129681.032,60375741.765,60815426.557,41847759.106,75226021.893,86379780.575,38917007.255,27448648.91,24593667.635,46397568.122,63047440.699,80611981.569,35918758.267,15827027.435,90585688.247,80730306.356,42826437.861,20564545.516,13366426.244,41925357.221,73240373.782,61560024.862,47666293.881,26388457.364,59584611.538,25225990.612,83136002.601,53369993.208,26668058.661,50308713.708,47350420.543,96474463.878,71447607.612,65942648.234,63321980.603,82881303.617,11605387.663,73395887.067,40548330.654,32060901.853,90058497.702,69804381.836,1,1,0
86375329.474,78901824.159,52520274.711,66604571.351,48296245.688,48990259.936,59979540.247,14289330.789,52131720.081,60277620.785,60834336.85,41854529.701,75238634.29,86360444.443,38919358.737,27521998.002,24604016.468,46403497.479,62987131.474,80541827.719,35910289.543,15782675.625,90587824.694,80722530.441,42825492.78,20609888.331,13346288.681,41927716.419,73244234.365,61562881.511,47573453.633,26399040.467,59584064.129,25228478.711,83135153.267,53410194.509,26663837.316,50328488.28,47326473.348,96471860.357,71437315.223,65944970.069,63423891.576,82888360.683,11603341.748,73379936.499,40555479.636,32059200.606,90058281.463,69769357.057,1,1,0
86349822.054,78875061.455,52519412.038,66600255.62,48304563.804,48990305.321,60424192.486,14263084.11,52130938.141,60400628.242,60796757.222,41814597.729,75221329.351,86370261.04,38932306.642,27507014.391,24601912.701,46312204.244,63012751.485,80704703.078,35907221.102,15846548.657,90590687.326,80735905.644,42824902.756,20576386.054,13354753.44,41934376.241,73245521.295,61576058.213,47599490.263,26399875.808,59584401.135,25224974.798,83215293.064,51837101.218,26669483.287,50338188.248,47346332.694,96472488.278,71440423.969,65944161.247,63389414.977,82891317.874,11609981.482,73389409.98,40551407.327,32062370.014,90058387.98,69775729.149,1,1,0
86357426.827,78900781.255,52517746.18,66597449.699,48309640.576,48990838.148,60454027.467,14201443.285,52130454.358,60272846.473,60714763.56,41856854.739,75217243.114,86374051.479,38942580.393,27531562.348,24622624.477,46404552.044,63075212.638,80634028.648,35907321.135,15823973.648,90604258.005,80731452.739,42824909.377,20548629.53,13359707.496,41937853.396,73231410.442,61559297.685,47587973.768,26410208.963,59584892.892,25234688.105,83278106.931,53376178.274,26665724.533,50347558.387,47341148.93,96474447.675,71438947.006,65954398.167,63415834.682,82896397.214,11601102.454,73390066.877,40570747.829,32061306.786,90040180.92,69773923.614,1,1,0
86395612.367,78908818.601,52519070.462,66595971.199,48305212.272,48991726.482,60431841.232,14259365.223,52126393.324,60259942.596,60797858.889,41843140.799,75234942.857,86370702.338,38922862.661,27508261.164,24582751.77,46416009.399,62999774.865,80670654.556,35898699.549,15828220.376,90585735.922,80736417.107,42825405.33,20590948.488,13353949.841,41932105.247,73228734.348,61558536.268,47595397.953,26387380.731,59584617.606,25226591.67,83135121.54,53358055.306,26668629.041,50324136.632,47336462.899,96473427.215,71469211.798,66011077.127,63397103.827,82893916.989,11607681.937,73377552.521,40557969.582,32069876.348,90058577.067,69496136.224,1,1,0
86357770.274,78850360.45,52519247.71,66594189.254,48290050.915,48990271.354,60411863.632,14205920.834,52123448.767,60288625.496,60730410.78,41785410.611,75234116.098,86362537.03,38898734.245,27527883.284,24575089.01,46391506.006,62808478.745,80639911.829,35915710.672,15824970.528,90586509.976,80732855.859,42826168.68,20578170.783,13325526.15,41927945.203,73229432.68,61559155.527,47597744.952,26384709.179,59585045.346,25229671.217,83115475.079,53391134.696,26665736.064,50332564.41,47175402.243,96473387.733,71441246.361,65955167.153,63408187.355,82886753.292,11622829.297,73382138.196,40555685.654,32060035.94,90054882.996,69431365.385,1,1,0
86355840.756,78905263.964,52519581.976,66631624.802,48417796.543,48990292.689,60347571.874,14275736.313,52129250.973,60285807.582,60793817.924,41855109.352,75574109.82,86370862.775,38877208.019,27518797.074,24449956.531,46393363.834,63050108.759,80619342.244,35916428.237,15823231.396,90585403.751,80723431.288,42826317.831,20560098.59,13349484.724,41922987.072,73245418.001,61557530.884,47577804.765,26402699.025,59584480.689,25235863.185,83121482.685,53370025.099,26676237.366,50368714.29,47418868.738,96472803.858,71446790.077,65952111.153,63393961.482,82887829.47,11607741.678,73382420.648,40552465.89,32063101.613,90057551.886,69775969.09,1,1,0
86380851.486,78868574.339,52519416.074,66611215.964,48306514.889,48989932.522,60414230.369,14297835.745,52151947.047,60280897.701,60791663.037,41839192.65,75216380.804,86345991.086,38912926.603,27541670.272,24606376.674,46428601.795,63082051.151,80636575.316,35898372.42,15827157.509,90585040.944,80727163.755,42823752.586,20571689.515,13354271.402,41925115.49,73237095.965,61569861.701,47587737.799,26398757.845,59583031.686,25227186.0,83118963.08,53382219.037,26667772.285,50335008.005,47344134.605,96473541.946,71442934.829,65946943.546,63391971.526,82887642.104,11602771.151,73383297.798,40545663.743,32059976.081,90058302.741,69788040.641,1,1,0
86355460.825,78898306.113,52519309.667,66597484.814,48274691.958,48990451.428,60416420.194,14253742.936,52129695.272,60284160.947,61746431.285,41875580.136,75270703.942,86361879.704,38884085.977,27476067.581,24698052.411,46557466.078,63040087.41,80638985.768,35911953.116,15829448.918,90560924.984,80723242.777,42834183.411,20568295.874,13351830.635,42004675.855,73251871.956,61658728.424,47601348.496,26415233.676,59584633.538,25229093.694,83154511.869,53378949.073,26665140.386,50328242.933,47363198.748,96473319.721,71442332.224,65944062.846,63398464.721,82918016.514,11605557.368,73405060.887,40554455.913,32060733.509,90058418.843,69776150.681,1,1,0
86415560.631,78900935.72,52517972.919,66605035.169,48304696.783,48988731.275,60420013.529,14279204.575,52128333.933,60164331.632,60791745.047,41830592.549,75275524.388,86362123.961,38858120.363,27515345.68,24587502.198,46407917.82,63005041.731,80625833.758,35908571.372,15823291.93,90583106.445,80727371.105,42825056.73,20573055.601,13355059.663,41922535.132,73229503.146,61540225.631,47601483.659,26385233.098,59585284.226,25228820.966,83133573.845,53435047.161,26667075.664,50331459.394,47350807.808,96472362.357,71436756.33,65914404.653,63398990.731,82881090.54,11597962.168,73375846.959,40553854.515,32062706.038,90054315.38,69799860.849,1,1,0
86252201.246,78899295.202,52518400.218,66622995.742,48297288.165,48990077.619,60403184.946,14294987.055,52128430.359,60262962.239,60790657.658,41847544.041,75223185.012,86366643.093,38872804.485,27510056.649,24592191.395,46438271.069,62940993.107,80613034.032,35899182.219,15810331.603,90586876.562,80770120.012,42826399.874,20580524.94,13356609.562,41929019.421,73222972.419,61551357.582,47596438.514,26355225.819,59584121.352,23113718.689,83116941.695,53385856.663,26667515.583,50357040.666,47330240.438,96471862.091,71434827.157,65922632.819,63407425.128,82894844.708,11600527.471,73385731.973,40501862.725,32062821.896,90058586.269,69717416.324,1,1,0
86368763.693,78904684.551,52519619.842,66592044.24,48324539.969,48988273.304,60476358.328,14241664.291,52132254.414,60270642.803,60783387.855,41835013.297,75228746.033,86364522.257,38940016.202,27487030.464,24571257.317,46818725.015,63030813.17,80631876.64,35905001.578,15825371.374,90595236.192,80543318.448,42823999.132,20573630.486,13359926.989,41940202.103,73218040.873,61557472.047,47541817.773,26382799.668,59583109.116,25226008.082,83132764.278,53377924.856,26662379.843,50442051.279,47337915.956,96472499.81,71443721.275,65947390.931,63397453.949,82881469.63,11588387.619,73377764.946,40551437.057,32055699.839,90058970.64,69077790.121,1,1,0
86343148.56,78902593.296,52517575.189,66657447.94,48298013.247,48989444.402,60423050.191,14275756.953,52126394.077,60280203.62,60785112.353,41826623.715,75257855.847,86363135.819,38937984.097,27806962.767,24583309.845,46418148.918,62921979.507,80637209.88,35913806.458,15828009.406,90588996.415,80736900.275,42818031.106,20593096.671,13237441.812,41924577.907,73231061.611,61563984.032,47517091.509,26378146.347,59606669.575,25224137.375,83150212.541,53373560.492,26672276.318,50329726.855,47684858.428,96472116.467,71455292.869,65954849.016,63410653.27,82884468.936,11592158.549,73376712.788,40559641.295,32061576.151,90057627.751,69797100.09,1,1,0
