f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,Person,Actor,Planet
86342872.907,78875305.551,52519207.836,66593666.133,48717510.058,48989797.975,60429150.35,14254677.88,52126345.864,60245228.291,60796621.342,41837716.632,75410494.413,86379002.531,38919587.413,27770516.77,24589924.633,46426219.471,63704638.482,80663849.853,35908547.187,15834120.341,90585482.459,80725638.598,42817946.838,20770174.581,13352605.38,41923374.355,73227345.725,61559266.565,47590923.43,26421067.116,59584535.512,25227145.87,83127381.087,53387495.711,26670785.162,50312256.603,47328948.727,96474741.831,71439613.068,65947269.041,63428587.054,82882795.535,11612878.688,73383902.607,40549698.727,32057947.119,90056566.984,69772315.892,1,1,0
86885478.699,78899779.257,52520984.555,66594798.691,48301872.997,48989989.345,60418887.095,14261377.636,52127279.622,60288801.085,60806556.663,41843252.586,75235008.676,86371031.8,38971392.573,27517377.928,24585348.243,46428631.117,62997796.095,80636957.55,35915165.264,15825971.777,90589313.304,80732724.046,42825386.931,20514982.913,13355077.337,41925200.39,73248746.507,61564182.659,47592309.851,26360345.947,59584689.452,25229457.856,83136531.19,53391561.266,26657199.896,50201436.021,47362295.119,96472495.848,71448660.579,65946617.882,63391797.08,82885190.885,11598393.9,72245815.059,40516550.493,32062200.736,90062828.715,69808172.611,1,1,0
86365347.619,81198051.519,52517709.399,66617968.763,48302223.116,48989762.301,60477729.136,14291789.894,52136392.49,60269023.001,60811099.278,41822994.608,75126125.158,86365210.185,38899116.556,27519900.431,24601925.592,46401165.595,63016983.249,80637730.829,35908205.713,15848405.268,90586646.639,80759392.846,42808960.743,20606041.786,13352837.943,41924930.169,73226060.281,61557845.913,47603620.488,26460302.61,59582182.586,25230195.071,83148850.991,53374922.366,26671925.041,50360768.628,47571751.221,96474258.469,71443378.936,65944023.015,63399133.779,82891070.419,11496821.938,73410722.254,40549470.239,32061954.067,90058652.843,69783394.632,1,1,0
86379638.175,78903187.1,52519774.529,66534368.82,48323466.491,48991925.344,60404286.677,14286555.827,52130828.211,60276852.339,60771300.367,41840223.655,75239011.942,86372098.593,38694963.725,27501554.699,24459000.423,46424078.523,63011580.836,80654422.92,35895672.689,15846899.152,90585601.232,80735322.586,42822728.187,20571837.908,13353315.806,41925611.216,73197593.287,61552722.753,47585573.025,26394607.519,59582825.827,25231322.675,83117759.804,53386631.615,26654588.764,50289925.922,46724476.118,96472094.627,71444173.978,65949765.946,63405926.585,82921704.528,11606582.557,73383553.213,40555391.491,32061753.72,90057839.627,69780045.411,1,1,0
86368763.693,78904684.551,52519619.842,66592044.24,48324539.969,48988273.304,60476358.328,14241664.291,52132254.414,60270642.803,60783387.855,41835013.297,75228746.033,86364522.257,38940016.202,27487030.464,24571257.317,46818725.015,63030813.17,80631876.64,35905001.578,15825371.374,90595236.192,80543318.448,42823999.132,20573630.486,13359926.989,41940202.103,73218040.873,61557472.047,47541817.773,26382799.668,59583109.116,25226008.082,83132764.278,53377924.856,26662379.843,50442051.279,47337915.956,96472499.81,71443721.275,65947390.931,63397453.949,82881469.63,11588387.619,73377764.946,40551437.057,32055699.839,90058970.64,69077790.121,1,1,0
86405659.305,78905662.528,52519635.365,66587084.346,48293875.544,48989934.313,60409272.665,14265929.978,52133143.479,60278202.796,60789065.464,41846221.632,75219560.123,86368878.987,38962840.724,27488188.167,24595529.473,46425259.933,63038334.763,80635289.269,35910054.345,15824098.053,90588541.968,80739560.082,42824498.772,20582345.702,13357334.183,41927391.92,73243548.425,61558175.087,47603758.843,26372059.849,59594785.502,25226024.049,83116231.718,53355164.128,26652613.179,50082488.995,47361714.876,96472664.066,71442706.554,65948748.849,63406778.221,82887136.797,11605417.668,73474711.01,40546286.457,32061381.297,90060164.612,70218381.093,1,1,0
86565901.498,78900512.626,52520208.305,66592423.142,48325503.767,48988266.473,60434402.602,14249862.916,52127073.901,60218681.044,60815840.397,41824527.007,73832356.244,86366473.9,38923875.041,27541734.567,24613693.822,46415025.693,63095885.973,80664958.527,35894177.503,15826201.61,90586516.764,80729187.25,42826547.17,20576005.913,13455761.688,41925488.588,73218472.112,61547650.946,47596517.999,26384566.626,59584263.284,25228170.675,83110800.829,53408339.481,26662919.932,50292632.565,47367454.732,96472710.069,71443375.596,65950600.08,63390732.208,82931804.468,11588077.408,73382476.695,40228696.502,32063825.914,90059728.709,69713815.907,1,1,0
86355978.992,78898902.816,52518626.999,66606777.485,48306898.264,48989931.2,60411011.093,14249755.618,52132021.332,60275692.408,60830201.24,41859978.077,75225122.641,86370125.556,33649360.955,27478577.73,24595026.905,46404838.952,63033388.834,80563550.858,35909321.917,15826116.4,90587068.256,80731676.5,42828993.619,20580603.14,13351862.58,41925993.936,73217199.908,61575334.501,47592073.712,26394761.452,59583094.164,25227917.022,83140606.761,53333716.424,26670355.215,49689501.303,47306993.352,96474101.797,71441850.376,65944439.591,63398112.005,82879944.571,11614780.916,73385581.051,40549851.685,32061165.25,90055608.11,69773041.883,1,1,0
86355080.305,78917616.364,52520201.624,66698133.988,48286643.297,48993065.628,60405038.301,14271726.033,52114904.25,60266729.306,60795391.658,41869856.744,75238428.286,86376995.253,39041124.343,27495092.729,24595804.317,46435186.511,63079371.822,80649767.633,35913468.751,15824853.329,90590410.682,80730602.171,42824944.081,20577066.678,13352162.95,41925616.656,73241168.894,61555732.459,47578824.702,24885115.377,59584916.255,25230143.225,83127761.084,53371046.637,26660708.228,50342409.993,47363344.482,96482478.744,71442997.914,66075917.29,63398007.611,82868317.662,11607117.56,73379081.663,40555538.632,32061294.311,90056304.787,69771413.588,1,1,0
86348716.938,78897325.857,52518400.009,66601752.8,48321112.2,48990238.84,61372748.329,14267019.71,52130286.209,60278209.088,60783392.956,41738606.046,75227409.437,86370477.825,38917981.35,27529067.482,24591711.216,46398037.8,63041549.014,80655158.588,35922517.122,15829433.99,90590848.602,80726141.764,42827551.355,20554466.712,13354811.875,41920816.997,73220915.062,61559026.197,47600605.883,26365586.637,59583991.365,25240697.855,83123120.913,54648591.53,26666801.357,50330136.354,47352558.465,96458649.574,71442392.382,65944752.306,63410836.378,82886665.421,11626642.538,73399233.795,40550951.107,32063375.263,90055159.916,69764584.865,1,1,0
86342445.157,78876170.414,52525641.61,66575420.95,48309957.06,48990191.649,60430020.151,14282482.245,52272191.199,60238902.116,60780327.765,41845292.067,75295217.261,86473985.732,38926365.638,27510804.817,24589513.361,46401535.147,63034797.522,80648575.831,35907068.165,15797913.977,90605122.919,80731374.302,42822695.29,20590092.43,13352419.188,41935158.188,73234106.478,61564020.43,47612066.746,26359578.956,59584908.826,25239189.806,83142077.094,53359721.763,26666663.375,50266886.751,47339386.187,96472935.735,71446216.351,65933661.158,63426614.23,82875023.804,11603576.374,73382803.489,40556246.726,32062017.639,90054412.378,69812260.823,1,1,0
85944833.093,78899225.713,52520098.318,66581601.088,48247082.804,48989811.284,60422555.601,14275266.427,52129409.794,60268490.458,60787449.876,41837053.971,75223435.226,86370331.873,38942312.78,27515485.685,24306312.934,46444796.936,63193578.507,80624255.668,35911033.561,15828004.142,90587121.769,80720169.311,42825449.593,20575367.65,13349804.238,42037916.217,73244667.228,61558171.315,47574280.323,26399004.102,59584520.81,25228907.024,83123715.846,53373895.767,26668353.583,50314733.391,47327298.975,96472945.747,71446446.125,65948407.389,63410423.477,82886047.539,11219161.332,73378934.688,40558377.091,32065092.691,90059062.189,69772901.056,1,1,0
