f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,Person,Artist,CelestialBody
86364242.828,78940471.236,52519841.312,66598472.678,48290672.018,48990160.427,60377693.648,14228483.956,52128991.125,60278539.495,60668565.976,41854338.097,75235830.113,86361402.531,38913032.371,27422569.46,24596371.472,47013380.365,63021539.068,80638903.726,35898391.863,15829853.881,90578740.882,80729834.903,42828590.792,20582947.566,13355084.823,41927415.666,73217554.163,61567527.54,47622891.996,26491365.452,59584604.449,25179000.946,83152698.159,53420197.575,26668563.082,50294005.099,47350634.659,96472272.783,71431548.974,65942790.141,63401785.053,82888866.222,11624295.733,73371510.809,40556727.203,32013599.439,90054502.372,69769146.595,1,1,0
85992570.185,78903125.755,52518406.235,66635401.777,48287707.491,48990376.709,60373671.705,14265631.594,52132043.883,60270051.243,59384124.506,41817985.958,75180818.245,86357851.759,38912533.519,27522273.415,24588960.849,46552687.699,63051802.628,80622887.679,35892843.569,15832588.603,90579245.238,80723915.626,42825018.026,20569977.597,13350678.078,41921610.539,73243078.323,61550095.746,47552007.147,26376402.468,59578537.688,25232191.251,83042301.575,53399476.316,26667239.019,50288959.744,47342110.59,96480779.259,71437883.355,65942267.228,63399651.709,82901502.338,11622384.583,73390129.905,40553158.549,32060203.204,90058281.394,69779565.457,1,1,0
86350570.321,78899186.71,52519130.718,66583277.298,48284316.495,48990152.353,60426263.17,14283042.951,52132456.988,60264172.634,60787623.082,41950763.996,75244107.501,86369876.79,38869653.748,27507961.221,24592640.722,46408904.969,63491625.996,80640761.844,35934540.984,15826510.552,90587029.904,80725579.05,42825349.329,20585738.897,13355748.961,41921365.331,73197659.128,61561431.76,47588515.26,26408847.456,59584746.7,25225112.045,83131731.717,53288935.569,26654570.847,50322480.201,47339925.008,96490087.98,71442883.234,65953054.664,63408184.413,82879779.721,11601426.508,73374277.671,40573905.718,32061234.105,89931831.619,69773722.797,1,1,0
86310104.994,78947773.888,52514629.694,66629627.92,48296990.537,48990059.624,60395718.085,14274459.985,52131061.298,60286621.623,60813586.209,41788257.024,75310518.914,86338620.13,38903769.685,27522579.76,24600302.677,46404570.412,62959568.379,80625764.287,35910597.2,15814188.678,90582910.281,80738076.933,42824546.257,20582884.877,13354031.499,41925318.633,73237053.797,61556661.823,47587521.719,26426784.61,59584202.972,25226553.627,83344909.69,53377008.244,26658925.195,50303038.676,47346161.384,96473117.979,71445729.089,65947228.091,63417496.906,82886505.188,11601716.852,73315366.389,40562600.888,32058567.055,90058044.987,69774802.255,1,1,0
86373900.894,78899105.695,52518424.849,66599755.446,48305674.091,48990799.077,60416365.996,14255717.876,52128681.381,60269798.357,60799905.371,41840379.601,75235411.532,86368447.814,38928302.035,27560331.302,24609346.423,46409635.832,63002048.413,81068616.012,35911407.275,15827727.4,90586077.684,80726344.863,42825707.316,20585255.234,13353260.35,41923076.49,73221256.27,61591501.455,47580061.281,26389535.591,59583578.27,25221921.584,83111024.472,53397351.841,26665944.999,50299953.731,47345916.366,96472373.188,71445500.766,65949614.438,63385122.013,82884098.158,11612301.66,73397822.468,40551089.691,32060751.233,90058537.873,69771244.537,1,1,0
86519752.76,78895799.203,52519006.259,66457829.777,48285580.274,48989718.515,60415740.831,14260499.865,52133772.688,60267357.824,60794112.043,41868022.675,75242719.804,86598858.906,38967006.474,27494901.351,24641139.216,46439617.445,64264366.337,80658052.405,35912646.798,15829641.143,90587336.472,80731651.351,42826221.783,20563910.507,13356265.663,41914573.063,73257656.698,61580134.109,47584680.707,26591643.904,59584140.442,25248657.396,83163419.236,53371788.816,26665526.721,50283300.588,47345574.524,96480144.842,71468349.727,65959071.282,63424982.7,82871309.993,11599698.183,73384951.796,40551804.645,32060343.233,90058527.53,69760216.346,1,1,0
86337616.501,78928413.803,52519787.104,66581284.813,48322468.913,48989845.176,60448693.209,14285721.935,52131933.304,60280530.718,60610117.827,41810422.235,75231328.456,86379695.052,38902846.717,27534776.006,24658526.083,46402174.992,62934904.722,80639932.139,35910740.796,15860807.131,90586897.262,80716780.167,42827600.396,20585941.947,13358016.651,41932921.079,73238778.307,61540089.019,47598262.297,41182877.98,59573952.322,25221919.582,83086995.984,53428756.589,26669848.336,50307716.463,47345458.865,96473694.506,71442907.112,65988231.464,63416656.789,82862633.785,11595007.591,73380155.301,40555382.773,32061032.814,90055653.416,69777893.7,1,1,0
86368763.693,78904684.551,52519619.842,66592044.24,48324539.969,48988273.304,60476358.328,14241664.291,52132254.414,60270642.803,60783387.855,41835013.297,75228746.033,86364522.257,38940016.202,27487030.464,24571257.317,46818725.015,63030813.17,80631876.64,35905001.578,15825371.374,90595236.192,80543318.448,42823999.132,20573630.486,13359926.989,41940202.103,73218040.873,61557472.047,47541817.773,26382799.668,59583109.116,25226008.082,83132764.278,53377924.856,26662379.843,50442051.279,47337915.956,96472499.81,71443721.275,65947390.931,63397453.949,82881469.63,11588387.619,73377764.946,40551437.057,32055699.839,90058970.64,69077790.121,1,1,0
86388023.783,78901341.943,52533825.653,66586035.189,48263836.45,48990109.947,60424430.873,14275021.394,52129098.715,60282595.975,60805414.105,41864328.03,75240245.218,86356993.991,38919952.996,27500162.077,24587788.182,46385183.515,62971069.265,80635142.443,35874545.704,15826764.801,90597268.492,80740235.505,42832652.251,20576630.426,13353944.228,41992842.603,73233470.304,61557345.75,47601251.992,26376428.952,59583664.827,25227643.091,83128282.119,53361016.442,26664980.069,50322995.866,47354510.36,96473895.573,71433509.167,65947297.269,63401880.857,82770798.993,11604394.72,73379988.499,40546800.418,32058819.051,90057695.977,69768514.858,1,1,0
86347743.916,78896679.059,52519440.418,66595304.086,48306379.168,48990175.315,60447037.394,14095306.348,52138539.665,60290222.78,60793509.779,41995018.186,75253896.021,86349736.471,38901572.928,27340294.11,24596906.228,46603281.565,59655466.365,80626488.608,35913024.042,15834905.395,90588363.595,80730442.439,42823003.344,20581894.149,13357572.389,41928528.705,73212976.508,61556964.934,47580917.644,26399101.712,59584092.818,25228063.767,83148215.601,53679485.773,26668504.815,50325943.913,47363256.265,96475020.516,71441923.067,65952526.983,63399786.987,82887530.437,11602867.516,73395891.21,40544017.763,32061890.695,90058209.619,69783509.078,1,1,0
