f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,Person,Artist,Place
86354795.604,78901223.886,52519278.262,66611529.473,48273235.872,48990220.457,60418161.44,14327377.931,52132190.998,60278753.979,60791277.847,41837751.502,75253154.003,86368988.883,38956520.44,27527935.583,24602533.541,46370926.569,63073691.583,80634364.599,35913357.502,15827763.388,90585843.627,80749979.73,42825196.82,20606368.937,13355459.341,41925588.033,73245445.0,61564668.682,47593771.925,26410083.887,59584874.589,25227224.972,83116527.368,53345620.167,26663341.876,50273038.929,47347412.722,96473437.476,71447837.488,65953140.667,63388664.362,82880543.717,11604520.893,73386320.692,40549083.78,32057830.914,90057479.734,69777470.586,1,1,0
86350156.711,78925926.48,52520018.574,66602884.408,48289283.117,48990345.899,60405743.775,14242126.86,52131732.685,60300020.347,60797180.317,41836299.873,75234068.786,86371868.608,38899705.674,27534571.804,24612243.869,46449234.489,63011969.754,80646524.6,35906892.447,15826819.599,90599268.716,80749440.619,42825903.027,20572313.288,13354291.84,41921422.163,73201081.165,61553269.304,47599618.815,26399595.319,59585008.012,25225160.422,85471771.645,53357529.861,26664831.51,50349961.221,47346786.151,96472859.434,71445988.172,65945537.518,63405493.903,82891406.501,11599647.248,73370301.155,40552713.199,32064829.286,90054487.718,69776484.387,1,1,0
86362268.718,78881014.835,52519644.829,66601357.142,48302137.153,48990101.929,60417974.036,14255181.273,52128665.331,60274456.969,60790284.717,41838401.563,75211432.896,86368818.313,38913655.307,27462236.266,24599376.903,46365371.107,63024888.546,80635681.53,35905285.116,15826147.474,90587131.988,80736931.769,42824368.782,20556445.725,13355622.738,41922274.544,73236254.028,61554641.413,47597582.589,26398005.289,59583714.165,25227923.118,83115282.396,53443866.832,26663524.687,50324338.299,47354284.29,96474184.835,71448284.795,66069163.031,63321373.228,82887119.691,11607541.099,73381568.938,40560582.811,32061007.32,90058632.781,69778437.041,1,1,0
86379638.175,78903187.1,52519774.529,66534368.82,48323466.491,48991925.344,60404286.677,14286555.827,52130828.211,60276852.339,60771300.367,41840223.655,75239011.942,86372098.593,38694963.725,27501554.699,24459000.423,46424078.523,63011580.836,80654422.92,35895672.689,15846899.152,90585601.232,80735322.586,42822728.187,20571837.908,13353315.806,41925611.216,73197593.287,61552722.753,47585573.025,26394607.519,59582825.827,25231322.675,83117759.804,53386631.615,26654588.764,50289925.922,46724476.118,96472094.627,71444173.978,65949765.946,63405926.585,82921704.528,11606582.557,73383553.213,40555391.491,32061753.72,90057839.627,69780045.411,1,1,0
86359893.382,78882878.637,52519245.65,66600862.511,48376493.571,48990394.759,60426830.864,14286200.887,52128652.346,60278070.433,60853809.646,41865568.281,75175591.106,86366983.384,39056941.813,27495831.198,24590715.042,46432364.93,63065887.779,80703600.573,35894786.099,15862840.955,90587438.48,80727324.017,42825832.139,20579783.653,13354135.123,41916926.194,73247487.939,61550095.307,47597688.78,26386186.34,59584729.458,25228490.215,83110616.736,53256575.871,26678082.942,50313989.202,47353201.078,96471786.247,71446209.846,65921650.668,63389516.533,82898881.822,11626333.13,73371300.846,40550919.896,32059684.686,90058036.184,69770334.68,1,1,0
86353381.643,78899831.988,52520633.881,66598811.857,48308300.953,48988872.478,60439187.958,14250907.594,52132697.518,60276419.742,60801973.031,41840820.445,75231957.366,86372593.06,39046874.057,27501613.453,24591334.324,46427494.928,63028895.918,80643402.129,35917028.351,15826841.235,90585303.247,80729669.432,42827134.016,20588621.797,13352038.556,41923166.254,73211740.4,61555581.695,47602085.1,26385553.885,59584076.481,25224576.911,83121899.802,53378031.507,26664896.744,50328965.049,47352154.083,96473792.131,71447517.816,65952419.24,63401016.288,82890358.694,11595418.555,73381116.462,40552859.993,32062086.821,90058939.365,69763117.414,1,1,0
86354046.464,78899393.637,52520711.587,66599448.758,48281701.923,48990330.264,60464805.697,14265966.011,52125475.367,60269382.137,60900552.401,41843025.485,75228814.207,86361615.167,38903287.326,27496940.147,24584501.484,46636215.377,63054459.676,80629892.017,35905708.653,15822794.318,90580691.997,80727231.327,42826489.459,20551240.901,13338699.029,41924520.3,73234227.433,61553775.684,47587817.906,26386307.928,59585908.902,25234506.791,83016769.188,53355804.739,26668351.664,50278076.367,41135902.232,96472713.53,71446439.123,65947499.007,63412765.767,82889270.7,11609480.999,73365417.826,40536575.953,32061114.257,90057907.657,69772407.018,1,1,0
86363493.598,78907393.767,52518295.567,66610178.761,48299350.631,48990068.231,60413097.228,14282206.287,52132407.646,60287961.362,60723762.542,41855969.722,75207899.214,86367620.961,38916481.41,27536675.969,24584214.769,46423966.989,63044996.459,80640877.837,35911672.693,15825498.48,90585528.283,80798090.327,42826403.681,20582972.691,13352964.48,41924262.111,73232830.262,61416574.115,47601018.437,26401064.588,59584569.13,25226686.481,83147801.31,53398283.794,26672295.854,50285174.326,47347860.291,96476015.571,71453200.799,65960838.283,63426177.789,82881781.673,11600670.741,73377952.478,40556269.909,32061169.496,90058744.791,69776872.528,1,1,0
86359995.407,78906243.013,52510843.461,66606066.755,48299925.769,48990070.472,60478117.413,14268718.668,52132505.887,60271459.839,60788128.655,41882521.141,75270613.284,86396161.439,38835091.644,27521367.334,24588775.51,46425637.485,63053773.417,80632988.565,35908921.061,15822586.004,90508871.582,80727030.239,42825650.848,20576164.746,13416162.945,41601953.788,73232104.912,61559557.524,47594265.453,26383770.265,59584408.746,25226221.096,83118500.066,53395986.914,26666921.154,50330780.231,47343612.54,96472588.794,71440033.864,65949540.153,63397166.724,82884892.905,11601446.477,73379589.859,40556390.392,32065313.78,90078013.678,69696338.724,1,1,0
86360003.287,78851481.098,52518730.629,66603166.78,48300229.332,48989984.595,60411605.207,14256953.399,52126218.136,60282736.999,60809514.538,41879298.093,75227135.3,86372090.088,38942076.565,27546740.961,24597960.732,46401879.287,63004399.093,80589342.321,35919047.436,15823819.778,90579631.235,80726267.749,42808538.373,20581157.092,13354078.957,41933833.041,73234106.229,61557478.099,47604714.705,26262300.95,59583543.524,25230261.366,83156847.272,53376793.428,26669850.26,50330908.59,47341133.515,96473623.677,71458631.331,65945949.152,63416827.296,82922107.056,11610383.562,73389812.155,40544673.054,32070006.586,90064469.729,69763405.465,1,1,0
